TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/9/2022 10:02,22005403587,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999506520,SUNSILK SHP RFR ANTI DANDRUFF 18X320ML,36,38153.17,21237.9621,148750.3774,1501026.535
6/4/2022 9:46,22005403434,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999526870,RINSO MOLTO ROYAL GOLD LIQ 12X750ML,12,24950.42,4629.5504,32425.3039,327200.7935
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999195656,SARIWANGI ASLI RL TB 24X(50X1.85G) ,360,8626.13,48017.3526,336312.8392,3393702.287
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999707774,PEPSODENT CMPLT 8 PLUS WHITENING 144X75G,144,7300,16254.18,113844.0402,1148789.86
6/4/2022 9:48,22005403431,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8992747180201,VIXAL PEMB PORS HIJAU BTL NEW 12X780ML,36,20950.42,11662.0513,81680.8376,824233.9063
6/9/2022 10:07,22005403584,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999552503,ZWITSAL KIDS SHP PINK SOFT & MSTR 4X6X180ML,24,14594.58,5416.0487,37933.9258,382787.7971
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999036829,LUX BW SOFT ROSE LD REFF 24X400ML,24,23621.63,8765.9869,61396.8446,619549.9777
6/9/2022 10:11,22005403579,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999519865,DOVE DEO WMN RO CUCUMBER 4X6X40ML,24,16600,6160.26,43146.3714,435386.1114
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999027049,LIFEBUOY SHP PRWTN RBT RNTK SX 480X1X9ML,480,360.36,2674.5919,18732.8029,189031.011
6/9/2022 10:08,22005403583,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999559595,VASELINE HB FIRM GLOW SRM PJ 4X3X180ML,24,25338.75,9403.2101,65859.9469,664586.7368
